id,employee_code,first_name,last_name,email,phone,department,job_title,hire_date,status,base_salary,hra,ta,da,role,gender,date_of_birth
cbd064df-765b-43b1-a6de-47fffd90277e,EMP0001,Aarav,Verma,aarav.verma1@paysphere.com,+91-9134126396,HR,HR Executive,2019-04-05,Active,66868,13373,6686,3343,admin,Male,1987-10-14
dc25aa84-d58e-4e57-9a98-885120ccf60e,EMP0002,Neha,Agarwal,neha.agarwal2@paysphere.com,+91-9732719211,Marketing,Digital Marketer,2022-01-18,Active,92124,18424,9212,4606,employee,Male,1998-04-15
397f1799-4620-4a1f-a3e1-1fa6e223e42e,EMP0003,Sneha,Reddy,sneha.reddy3@paysphere.com,+91-9203848421,Finance,CFO,2020-03-07,Active,128236,25647,12823,6411,employee,Female,1988-02-13
71b688b3-185a-46a9-a56b-4dad8ff836f6,EMP0004,Priya,Malhotra,priya.malhotra4@paysphere.com,+91-9488302652,Operations,Operations Analyst,2022-02-13,Active,60656,12131,6065,3032,employee,Male,1994-11-20
0b70bf5d-3262-4fff-afec-7f60d23122ae,EMP0005,Neha,Gupta,neha.gupta5@paysphere.com,+91-9782560971,Engineering,Tech Lead,2018-04-28,Active,66476,13295,6647,3323,employee,Male,1997-05-15
f8ce00f7-1af4-4f2d-9995-88c404ac5b86,EMP0006,Divya,Nair,divya.nair6@paysphere.com,+91-9362863730,Sales,Sales Manager,2023-05-23,Active,58717,11743,5871,2935,employee,Female,1990-09-24
9edfa270-536e-4023-9334-20448974da28,EMP0007,Amit,Bose,amit.bose7@paysphere.com,+91-9438715135,Product,Business Analyst,2019-11-11,Active,54663,10932,5466,2733,employee,Female,1992-01-26
2354a2a8-adaa-4934-8562-a9bc6efd78f5,EMP0008,Rohan,Sinha,rohan.sinha8@paysphere.com,+91-9253407200,HR,Recruiter,2023-06-07,Active,170870,34174,17087,8543,employee,Male,1997-11-15
277c144a-c05b-472c-a972-6354d3a4c033,EMP0009,Meera,Bose,meera.bose9@paysphere.com,+91-9248532577,Marketing,Content Writer,2020-12-19,Active,152311,30462,15231,7615,employee,Male,1997-06-08
2728d707-1d77-415f-b799-d069411a1843,EMP0010,Sunita,Mehta,sunita.mehta10@paysphere.com,+91-9739830322,Engineering,DevOps Engineer,2023-03-26,Active,150666,30133,15066,7533,employee,Female,1987-07-13
